ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
39343350,CC LAR CREDI,421,Sim,RSFN,LAR COOPERATIVA DE CRÉDITO - LAR CREDI,21/07/2021
39416705,CREDIHOME SCD,443,Não,RSFN,CREDIHOME SOCIEDADE DE CRÉDITO DIRETO S.A.,18/11/2021
39519944,OPEA SCD,535,Não,RSFN,OPEA SOCIEDADE DE CRÉDITO DIRETO S.A.,10/02/2023
39587424,UY3 SCD S/A,457,Não,RSFN,UY3 SOCIEDADE DE CRÉDITO DIRETO S/A,26/10/2021
39664698,CREDSYSTEM SCD S.A.,428,Não,RSFN,CREDSYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A.,20/04/2021
39669186,HEMERA DTVM LTDA.,448,Não,RSFN,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,17/08/2021
39676772,CREDIFIT SCD S.A.,452,Não,RSFN,CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.,15/09/2021
39738065,FFCRED SCD S.A.,510,Não,RSFN,FFCRED SOCIEDADE DE CRÉDITO DIRETO S.A..,30/11/2022
39908427,STARK SCD S.A.,462,Não,RSFN,STARK SOCIEDADE DE CRÉDITO DIRETO S.A.,01/10/2021
40083667,CAPITAL CONSIG SCD S.A.,465,Não,RSFN,CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.,03/12/2021
40276692,PROTEGE PAY CASH IP S.A.,563,Não,RSFN,PROTEGE PAY CASH INSTITUICAO DE PAGAMENTO S/A,18/09/2023
40303299,PORTOPAR DTVM LTDA,306,Não,RSFN,PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,06/02/2019
40333582,PROSEFTUR,556,Não,RSFN,PROSEFTUR CORRETORA DE CAMBIO S.A,03/08/2023
